image,message
0.jpg,Кредит с доставкой к Вам от 2% до 1 млн.р.: bit.ly/sinara-credit
1.jpg,"Томаты Черри, горячее сердце/клубничный поцелуй, 200г за 99,99₽ до 29 мая в Магнит. До -70% на сковороды ROYAL KUCHEN! clck.ru/34Vubc"
2.jpg,−410₽ на первый заказ в магазине от 1500₽. Промокод — 410NEW
3.jpg,Финальная распродажа! ЛЕТО цены ПОПОЛАМ! Francesco.ru
4.jpg,МЯУ 🐱 В ЛЭТУАЛЬ черная пятница ЛЕТОМ! Скидки до 80%! 🐈 letu.ru/jp
5.png,"Молоко Светаево, 3,2%, 1 л – 59 р Горошек Greenola, зелёный, молодой, 400 г – 49 р Чижик – продукты по улётным ценам! Адрес: Москва, Мастеровая, 17/1к2 Цены действительны до 21.06.2023"
6.jpg,"Вам 60 дней подписки Прайм за 1₽, подключайтесь cutt.ly/i4uN1YB"
7.jpg,"Безграничный кешбэк 10% на баланс телефона за бронирование отелей через «Яндекс Путешествия х билайн»! http://cm.beeline.ru/i/ERkqNaBxAH7lRRFG  Акция доступна с 24.04.2023 г. по 31.05.2023 г. Организатор, сроки, порядок проведения акции, а также условия зачисления кешбэка по ссылке выше."
8.jpg,"3=2 на ТИХИЕ ВИНА, ВОДКУ, БРЕНДИ по вашей карте 16.06 lenta.com/ZiXW"
9.png,"СУПЕРСКИДКИ! ШОРТЫ от 449, МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!"
10.png,"💳Анна, оформите дебетовую карту MTS Cashback Мир: - снятие наличных до 100 тыс. руб. в мес. без комиссии в любых банкоматах. Кешбэк: - 5% в супермаркетах 🛒(с подпиской Premium), - 5% на доставку еды, в кафе и ресторанах 🍕, магазинах одежды,  - 1% на остальные покупки 🛍️  👉Закажите карту с бесплатной доставкой l.mts.ru/1/dcard"
11.jpg,"-30% на 1й заказ питомцам в СберМаркет от 1500р Код ""09J"" до 30.06.23 https://m.mrktlg.com/gZWoy5ho8x/SBERMARKET  ООО ""Инстамарт Сервис"", г. Москва, Садовническая ул, д. 9а, этаж/помещ./ком. 5/I/1, ОГРН 1187746494980 6+"
